"sample_name","embryo_no","embryo_phase","status","notes"
"9M4",1,"cleavage","typical",NA
"9M4",2,"cleavage","typical",NA
"9M4",3,"cleavage","typical","incomplete"
"9M4",4,"egg","typical",NA
"9M4",5,"4to16cell","typical",NA
"9M4",6,"cleavage","typical",NA
"9M4",7,"egg","typical",NA
"9M4",8,"4to16cell","typical","incomplete"
"9M4",9,"4to16cell","typical",NA
"9M4",10,"4to16cell","typical",NA
"9M4",11,"4to16cell","typical",NA
"9M4",12,"egg","typical",NA
"9M4",13,"4to16cell","typical",NA
"9M4",14,"cleavage","typical",NA
"9M4",15,"cleavage","typical",NA
"9M4",16,"cleavage","typical","incomplete"
"9M4",17,"cleavage","typical","incomplete"
"9M4",18,"4to16cell","typical",NA
"9M4",19,"cleavage","typical","incomplete"
"9M4",20,"4to16cell","typical",NA
"9M4",21,"egg","typical",NA
