"sample_name","embryo_no","embryo_phase","status","notes"
"1H4",1,"4to16cell","typical",NA
"1H4",2,"cleavage","typical",NA
"1H4",3,"4to16cell","typical",NA
"1H4",4,"egg","typical",NA
"1H4",5,"egg","typical",NA
"1H4",6,"egg","typical",NA
"1H4",7,"egg","typical",NA
"1H4",8,"egg","typical",NA
"1H4",9,"egg","typical",NA
"1H4",10,"egg","typical",NA
"1H4",11,"egg","typical",NA
"1H4",12,"32to64cell","typical",NA
"1H4",13,"cleavage","typical",NA
"1H4",14,"egg","typical",NA
"1H4",15,"cleavage","typical","incomplete"
"1H4",16,"egg","typical",NA
"1H4",17,"32to64cell","typical",NA
"1H4",18,"egg","typical",NA
"1H4",19,"egg","typical",NA
"1H4",20,"4to16cell","typical",NA
"1H4",21,"cleavage","typical",NA
"1H4",22,"32to64cell","typical",NA
"1H4",23,"4to16cell","typical",NA
"1H4",24,"4to16cell","typical",NA
"1H4",25,"egg","typical",NA
