"sample_name","embryo_no","embryo_phase","status","notes"
"10L9",1,"prawnchip","uncertain","torn"
"10L9",2,"prawnchip","typical",NA
"10L9",3,"prawnchip","typical",NA
"10L9",4,"prawnchip","typical",NA
"10L9",5,"prawnchip","typical",NA
"10L9",6,"prawnchip","uncertain","torn"
"10L9",7,"prawnchip","uncertain","incomplete"
"10L9",8,"prawnchip","malformed","disintegrating"
"10L9",9,"prawnchip","malformed","disintegrating"
"10L9",10,"prawnchip","typical",NA
"10L9",11,"prawnchip","typical",NA
"10L9",12,"prawnchip","uncertain","torn"
"10L9",13,"prawnchip","typical",NA
"10L9",14,"prawnchip","uncertain",NA
"10L9",15,"prawnchip","typical",NA
"10L9",16,"prawnchip","uncertain",NA
"10L9",17,"prawnchip","typical",NA
"10L9",18,"prawnchip","typical",NA
"10L9",19,"prawnchip","typical",NA
"10L9",20,"prawnchip","malformed","separation"
"10L9",21,"prawnchip","typical",NA
"10L9",22,"prawnchip","typical",NA
"10L9",23,"prawnchip","uncertain","torn"
"10L9",24,"prawnchip","typical",NA
"10L9",25,"prawnchip","typical",NA
"10L9",26,"prawnchip","typical",NA
"10L9",27,"prawnchip","typical",NA
"10L9",28,"prawnchip","typical",NA
