"sample_name","embryo_no","embryo_phase","status","notes"
"8L14",1,"earlygastrula","typical",NA
"8L14",2,"earlygastrula","typical",NA
"8L14",3,"earlygastrula","malformed",NA
"8L14",4,"earlygastrula","typical",NA
"8L14",5,"earlygastrula","typical",NA
"8L14",6,"earlygastrula","typical",NA
"8L14",7,"earlygastrula","typical",NA
"8L14",8,"earlygastrula","typical",NA
"8L14",9,"earlygastrula","malformed",NA
"8L14",10,"earlygastrula","typical",NA
"8L14",11,"earlygastrula","typical",NA
"8L14",12,"earlygastrula","typical",NA
"8L14",13,"earlygastrula","malformed",NA
"8L14",14,"earlygastrula","typical",NA
"8L14",15,"earlygastrula","typical",NA
"8L14",16,"earlygastrula","typical",NA
"8L14",17,"earlygastrula","typical",NA
"8L14",18,"earlygastrula","typical",NA
"8L14",19,"earlygastrula","malformed",NA
"8L14",20,"earlygastrula","typical",NA
"8L14",21,"earlygastrula","typical",NA
