"sample_name","embryo_no","embryo_phase","status","notes"
"10C14",1,"earlygastrula","typical",NA
"10C14",2,"earlygastrula","typical",NA
"10C14",3,"earlygastrula","typical",NA
"10C14",4,"earlygastrula","typical",NA
"10C14",5,"earlygastrula","typical",NA
"10C14",6,"earlygastrula","typical",NA
"10C14",7,"earlygastrula","typical",NA
"10C14",8,"earlygastrula","typical",NA
"10C14",9,"earlygastrula","typical",NA
"10C14",10,"earlygastrula","typical",NA
"10C14",11,"earlygastrula","typical",NA
"10C14",12,"earlygastrula","malformed","disintegrating"
"10C14",13,"earlygastrula","typical",NA
"10C14",14,"earlygastrula","typical",NA
"10C14",15,"earlygastrula","typical",NA
"10C14",16,"earlygastrula","typical",NA
"10C14",17,"earlygastrula","typical",NA
"10C14",18,"earlygastrula","typical",NA
"10C14",19,"earlygastrula","typical",NA
"10C14",20,"earlygastrula","typical",NA
"10C14",21,"earlygastrula","malformed","torn"
"10C14",22,"earlygastrula","typical",NA
"10C14",23,"earlygastrula","uncertain","torn"
