"sample_name","embryo_no","embryo_phase","status","notes"
"8H4",1,"4to16cell","typical",NA
"8H4",2,"4to16cell","uncertain","incomplete"
"8H4",3,"4to16cell","typical",NA
"8H4",4,"egg","typical",NA
"8H4",5,"cleavage","typical","incomplete"
"8H4",6,"egg","typical",NA
"8H4",7,"4to16cell","typical",NA
"8H4",8,"egg","typical",NA
"8H4",9,"cleavage","typical","incomplete"
"8H4",10,"cleavage","typical",NA
"8H4",11,"cleavage","typical",NA
"8H4",12,"egg","typical",NA
"8H4",13,"cleavage","typical",NA
"8H4",14,"4to16cell","typical",NA
"8H4",15,"cleavage","typical",NA
"8H4",16,"cleavage","typical",NA
"8H4",17,"egg","typical",NA
"8H4",18,"cleavage","typical",NA
"8H4",19,"4to16cell","typical",NA
"8H4",20,"4to16cell","typical",NA
"8H4",21,"cleavage","typical",NA
"8H4",22,"4to16cell","malformed",NA
"8H4",23,"32to64cell","typical",NA
"8H4",24,"egg","typical",NA
"8H4",25,"cleavage","typical",NA
