"sample_name","embryo_no","embryo_phase","status","notes"
"8M14",1,"earlygastrula","typical",NA
"8M14",2,"earlygastrula","typical",NA
"8M14",3,"earlygastrula","typical",NA
"8M14",4,"earlygastrula","typical",NA
"8M14",5,"earlygastrula","typical",NA
"8M14",6,"earlygastrula","malformed","torn"
"8M14",7,"earlygastrula","typical",NA
"8M14",8,"earlygastrula","typical",NA
"8M14",9,"earlygastrula","typical",NA
"8M14",10,"earlygastrula","typical",NA
"8M14",11,"earlygastrula","typical",NA
"8M14",12,"earlygastrula","typical",NA
"8M14",13,"earlygastrula","malformed","disintegrating"
"8M14",14,"earlygastrula","typical",NA
"8M14",15,"earlygastrula","typical",NA
"8M14",16,"earlygastrula","typical",NA
"8M14",17,"earlygastrula","malformed","torn"
"8M14",18,"earlygastrula","typical",NA
"8M14",19,"earlygastrula","typical",NA
"8M14",20,"earlygastrula","typical",NA
"8M14",21,"earlygastrula","typical",NA
"8M14",22,"earlygastrula","typical",NA
"8M14",23,"earlygastrula","typical",NA
"8M14",24,"earlygastrula","typical",NA
"8M14",25,"earlygastrula","typical",NA
"8M14",26,"earlygastrula","malformed","disintegrating"
